epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
96,3925.28,1.11327,0.66467,1.04081,0.82887,0.84939,0.84757,0.48972,1.5438,0.83524,1.27154,0.006238,0.006238,0.006238
97,3965.95,1.08912,0.64151,1.0354,0.83236,0.84627,0.88292,0.49264,1.5584,0.83332,1.29589,0.0061984,0.0061984,0.0061984
98,4006.56,1.07001,0.64439,1.03485,0.83795,0.84279,0.86246,0.48079,1.54842,0.80617,1.28588,0.0061588,0.0061588,0.0061588
99,4047.26,1.06984,0.64432,1.03177,0.84006,0.83493,0.87369,0.48681,1.581,0.82314,1.27922,0.0061192,0.0061192,0.0061192
100,4087.86,1.09531,0.6427,1.03335,0.86286,0.8508,0.88869,0.48243,1.60196,0.79162,1.29105,0.0060796,0.0060796,0.0060796
101,4128.55,1.07663,0.63133,1.02563,0.84677,0.83087,0.87542,0.48531,1.57766,0.81228,1.28852,0.00604,0.00604,0.00604
102,4169.14,1.09715,0.65588,1.03898,0.84244,0.82603,0.85348,0.47276,1.57454,0.79144,1.27181,0.0060004,0.0060004,0.0060004
103,4209.99,1.05699,0.63736,1.03203,0.90295,0.79823,0.87004,0.48041,1.54917,0.776,1.26927,0.0059608,0.0059608,0.0059608
104,4250.74,1.07427,0.65566,1.03512,0.84929,0.85817,0.86781,0.4901,1.56358,0.75709,1.28873,0.0059212,0.0059212,0.0059212
105,4291.59,1.06928,0.63027,1.03228,0.84509,0.85377,0.84452,0.47996,1.57649,0.79577,1.30725,0.0058816,0.0058816,0.0058816
106,4332.27,1.06235,0.626,1.03111,0.87792,0.83023,0.86511,0.48311,1.58825,0.7938,1.30137,0.005842,0.005842,0.005842
107,4373.19,1.07033,0.62718,1.03539,0.85602,0.86307,0.86743,0.49235,1.57043,0.78303,1.3048,0.0058024,0.0058024,0.0058024
